areaCode,areaName,areaType,date,hospitalCases
E40000003,London,nhsRegion,2020-11-19,1551
E40000003,London,nhsRegion,2020-11-18,1519
E40000003,London,nhsRegion,2020-11-17,1520
E40000003,London,nhsRegion,2020-11-16,1474
E40000003,London,nhsRegion,2020-11-15,1390
E40000003,London,nhsRegion,2020-11-14,1357
E40000003,London,nhsRegion,2020-11-13,1298
E40000003,London,nhsRegion,2020-11-12,1269
E40000003,London,nhsRegion,2020-11-11,1223
E40000003,London,nhsRegion,2020-11-10,1211
E40000003,London,nhsRegion,2020-11-09,1210
E40000003,London,nhsRegion,2020-11-08,1114
E40000003,London,nhsRegion,2020-11-07,1108
E40000003,London,nhsRegion,2020-11-06,1085
E40000003,London,nhsRegion,2020-11-05,1102
E40000003,London,nhsRegion,2020-11-04,1132
E40000003,London,nhsRegion,2020-11-03,1111
E40000003,London,nhsRegion,2020-11-02,1067
E40000003,London,nhsRegion,2020-11-01,1032
E40000003,London,nhsRegion,2020-10-31,963
E40000003,London,nhsRegion,2020-10-30,945
E40000003,London,nhsRegion,2020-10-29,921
E40000003,London,nhsRegion,2020-10-28,933
E40000003,London,nhsRegion,2020-10-27,889
E40000003,London,nhsRegion,2020-10-26,815
E40000003,London,nhsRegion,2020-10-25,762
E40000003,London,nhsRegion,2020-10-24,722
E40000003,London,nhsRegion,2020-10-23,698
E40000003,London,nhsRegion,2020-10-22,606
E40000003,London,nhsRegion,2020-10-21,633
E40000003,London,nhsRegion,2020-10-20,610
E40000003,London,nhsRegion,2020-10-19,594
E40000003,London,nhsRegion,2020-10-18,542
E40000003,London,nhsRegion,2020-10-17,502
E40000003,London,nhsRegion,2020-10-16,490
E40000003,London,nhsRegion,2020-10-15,439
E40000003,London,nhsRegion,2020-10-14,430
E40000003,London,nhsRegion,2020-10-13,442
E40000003,London,nhsRegion,2020-10-12,389
E40000003,London,nhsRegion,2020-10-11,365
E40000003,London,nhsRegion,2020-10-10,341
E40000003,London,nhsRegion,2020-10-09,348
E40000003,London,nhsRegion,2020-10-08,343
E40000003,London,nhsRegion,2020-10-07,350
E40000003,London,nhsRegion,2020-10-06,320
E40000003,London,nhsRegion,2020-10-05,326
E40000003,London,nhsRegion,2020-10-04,287
E40000003,London,nhsRegion,2020-10-03,280
E40000003,London,nhsRegion,2020-10-02,276
E40000003,London,nhsRegion,2020-10-01,275
E40000003,London,nhsRegion,2020-09-30,278
E40000003,London,nhsRegion,2020-09-29,275
E40000003,London,nhsRegion,2020-09-28,267
E40000003,London,nhsRegion,2020-09-27,224
E40000003,London,nhsRegion,2020-09-26,200
E40000003,London,nhsRegion,2020-09-25,230
E40000003,London,nhsRegion,2020-09-24,219
E40000003,London,nhsRegion,2020-09-23,210
E40000003,London,nhsRegion,2020-09-22,210
E40000003,London,nhsRegion,2020-09-21,190
E40000003,London,nhsRegion,2020-09-20,171
E40000003,London,nhsRegion,2020-09-19,161
E40000003,London,nhsRegion,2020-09-18,150
E40000003,London,nhsRegion,2020-09-17,147
E40000003,London,nhsRegion,2020-09-16,137
E40000003,London,nhsRegion,2020-09-15,136
E40000003,London,nhsRegion,2020-09-14,123
E40000003,London,nhsRegion,2020-09-13,100
E40000003,London,nhsRegion,2020-09-12,98
E40000003,London,nhsRegion,2020-09-11,115
E40000003,London,nhsRegion,2020-09-10,98
E40000003,London,nhsRegion,2020-09-09,96
E40000003,London,nhsRegion,2020-09-08,100
E40000003,London,nhsRegion,2020-09-07,98
E40000003,London,nhsRegion,2020-09-06,87
E40000003,London,nhsRegion,2020-09-05,90
E40000003,London,nhsRegion,2020-09-04,86
E40000003,London,nhsRegion,2020-09-03,87
E40000003,London,nhsRegion,2020-09-02,84
E40000003,London,nhsRegion,2020-09-01,88
E40000003,London,nhsRegion,2020-08-31,81
E40000003,London,nhsRegion,2020-08-30,78
E40000003,London,nhsRegion,2020-08-29,73
E40000003,London,nhsRegion,2020-08-28,82
E40000003,London,nhsRegion,2020-08-27,86
E40000003,London,nhsRegion,2020-08-26,83
E40000003,London,nhsRegion,2020-08-25,81
E40000003,London,nhsRegion,2020-08-24,85
E40000003,London,nhsRegion,2020-08-23,84
E40000003,London,nhsRegion,2020-08-22,79
E40000003,London,nhsRegion,2020-08-21,84
E40000003,London,nhsRegion,2020-08-20,89
E40000003,London,nhsRegion,2020-08-19,90
E40000003,London,nhsRegion,2020-08-18,98
E40000003,London,nhsRegion,2020-08-17,107
E40000003,London,nhsRegion,2020-08-16,100
E40000003,London,nhsRegion,2020-08-15,100
E40000003,London,nhsRegion,2020-08-14,103
E40000003,London,nhsRegion,2020-08-13,104
E40000003,London,nhsRegion,2020-08-12,111
E40000003,London,nhsRegion,2020-08-11,105
E40000003,London,nhsRegion,2020-08-10,107
E40000003,London,nhsRegion,2020-08-09,107
E40000003,London,nhsRegion,2020-08-08,126
E40000003,London,nhsRegion,2020-08-07,105
E40000003,London,nhsRegion,2020-08-06,113
E40000003,London,nhsRegion,2020-08-05,111
E40000003,London,nhsRegion,2020-08-04,118
E40000003,London,nhsRegion,2020-08-03,122
E40000003,London,nhsRegion,2020-08-02,120
E40000003,London,nhsRegion,2020-08-01,126
E40000003,London,nhsRegion,2020-07-31,128
E40000003,London,nhsRegion,2020-07-30,134
E40000003,London,nhsRegion,2020-07-29,131
E40000003,London,nhsRegion,2020-07-28,127
E40000003,London,nhsRegion,2020-07-27,133
E40000003,London,nhsRegion,2020-07-26,139
E40000003,London,nhsRegion,2020-07-25,108
