altitude,distance,heart_rate,speed,cadence_running,cadence_cycling,power,temperature,pace,cumulative_elevation_gain,time
165.8,1092.0726666666667,176,3.8600000000001273,NA,85,77.6988,NA,4.317789291882414,142.36859346307392,310
165.8,1095.9326666666668,175,3.9199999999998454,NA,87,67.1779,NA,4.251700680272276,142.6371614647553,311
165.8,1099.852666666667,175,3.819999999999936,NA,85,53.3777,NA,4.363001745200771,142.90468261015792,312
165.8,1103.6726666666666,174,3.6100000000001273,NA,84,52.5989,NA,4.616805170821628,143.17115862665412,313
166,1107.2826666666667,174,3.519999999999982,NA,84,57.0776,NA,4.734848484848509,143.4365912446026,314
166,1110.8026666666667,174,3.6100000000001273,NA,83,51.1597,NA,4.616805170821628,143.70098219734834,315
166,1114.4126666666668,173,3.789999999999963,NA,82,47.1461,NA,4.397537379067764,143.96433322115206,316
166,1118.2026666666668,172,3.730000000000018,NA,82,66.8062,NA,4.468275245755117,144.22664605490783,317
166,1121.9326666666668,171,2.980000000000018,NA,81,79.2083,NA,5.592841163310927,144.48792244007245,318
166,1124.9126666666668,170,2.939999999999827,NA,80,68.004,NA,5.668934240363145,144.74816412066556,319
166.2,1127.852666666667,170,3.060000000000173,NA,80,45.298,NA,5.44662309368161,145.00737284326954,320
166.2,1130.9126666666668,171,2.9200000000000728,NA,79,44.8009,NA,5.7077625570774835,145.26555035702955,321
166.2,1133.832666666667,171,3.4099999999998545,NA,78,54.9883,NA,4.887585532747032,145.52269841365353,322
166.2,1137.2426666666668,172,3.789999999999963,NA,78,68.8635,NA,4.397537379067764,145.77881876741216,323
166.4,1141.0326666666667,172,3.6599999999998545,NA,79,85.3849,NA,4.553734061930965,146.03391317513896,324
166.6,1144.6926666666666,171,3.3500000000001364,NA,80,98.5373,NA,4.975124378109251,146.28798339623015,325
166.4,1148.0426666666667,171,3.2999999999999545,NA,79,108.952,NA,5.05050505050512,146.54103119264482,326
166.4,1151.342666666667,170,3.4700000000002547,NA,82,107.688,NA,4.803073967338745,146.79305832890472,327
166.6,1154.812666666667,170,3.589999999999918,NA,84,118.544,NA,4.6425255338905425,147.04406657209444,328
166.6,1158.4026666666668,171,3.4999999999997726,NA,85,116.608,NA,4.761904761905071,147.29405769186135,329
166.6,1161.9026666666666,171,3.7000000000000455,NA,85,95.1542,NA,4.50450450450445,147.54303346041556,330
166.6,1165.602666666667,171,3.6700000000000728,NA,86,83.5602,NA,4.541326067211536,147.79099565253,331
166.8,1169.2726666666667,171,3.5,NA,87,75.0637,NA,4.761904761904762,148.0379460454813,332
167,1172.7726666666667,171,3.740000000000009,NA,89,84.9085,NA,4.4563279857397395,148.28388641881398,333
167,1176.5126666666667,171,4.309999999999945,NA,89,102.365,NA,3.866976024748696,148.5288185542812,334
167,1180.8226666666667,171,4.440000000000055,NA,89,112.884,NA,3.753753753753708,148.77274423584498,335
167.2,1185.2626666666667,171,4.129999999999882,NA,89,120.909,NA,4.035512510088896,149.01566524967606,336
167.4,1189.3926666666666,170,3.910000000000082,NA,89,123.271,NA,4.262574595055324,149.257583384154,337
167.6,1193.3026666666667,170,3.710000000000037,NA,90,120.225,NA,4.492362982928976,149.49850042986714,338
167.6,1197.0126666666667,171,3.660000000000082,NA,89,110.74,NA,4.553734061930681,149.7384181796125,339
167.6,1200.6726666666668,171,3.5599999999999454,NA,88,107.616,NA,4.681647940074978,149.97733842839597,340
167.6,1204.2326666666668,172,3.599999999999909,NA,88,119.447,NA,4.629629629629746,150.21526297343215,341
167.8,1207.832666666667,172,3.880000000000109,NA,89,132.391,NA,4.295532646047988,150.4521936141445,342
168,1211.7126666666668,171,4.1599999999998545,NA,89,136.85,NA,4.006410256410397,150.68813215216514,343
168,1215.8726666666666,172,4.040000000000191,NA,89,150.16,NA,4.12541254125393,150.92308039133502,344
168.2,1219.9126666666668,172,3.9400000000000546,NA,90,162.972,NA,4.230118443316354,151.15704013770386,345
168.2,1223.852666666667,172,4.199999999999818,NA,89,156.406,NA,3.9682539682541393,151.39001319953016,346
168.4,1228.0526666666667,172,3.849999999999909,NA,88,125.002,NA,4.329004329004431,151.62200138728116,347
168.6,1231.9026666666666,172,3.6100000000001273,NA,88,103.062,NA,4.616805170821628,151.8530065135983,348
168.8,1235.5126666666667,172,3.980000000000018,NA,88,107.377,NA,4.187604690117234,152.0830303931586,349
168.8,1239.4926666666668,173,3.980000000000018,NA,86,123.396,NA,4.187604690117234,152.31207484264013,350
169,1243.4726666666668,173,3.7999999999999545,NA,85,139.592,NA,4.3859649122807545,152.540141680722,351
169,1247.2726666666667,173,3.7200000000000273,NA,85,144.664,NA,4.480286738351222,152.7672327280843,352
169.2,1250.9926666666668,174,3.619999999999891,NA,85,151.866,NA,4.604051565377671,152.99334980740818,353
169.2,1254.6126666666669,174,3.1099999999999,NA,84,153.402,NA,5.359056806002315,153.21849474337574,354
169.6,1257.7226666666666,174,3.0000000000002274,NA,84,134.159,NA,5.555555555555134,153.44266936267022,355
169.6,1260.7226666666668,174,3.2799999999999727,NA,82,96.1759,NA,5.0813008130081725,153.66587549397573,356
169.6,1264.0026666666668,174,3.119999999999891,NA,81,59.3763,NA,5.34188034188053,153.88811496797754,357
169.6,1267.1226666666666,175,3.2200000000000273,NA,81,42.1304,NA,5.175983436852959,154.1093896173618,358
169.6,1270.342666666667,175,3.4200000000000728,NA,81,85.51,NA,4.873294346978454,154.32970127681585,359
169.8,1273.7626666666667,175,3.6100000000001273,NA,72,157.058,NA,4.616805170821628,154.54905178302783,360
169.8,1277.3726666666669,175,3.959999999999809,NA,0,144.363,NA,4.208754208754412,154.7674429746871,361
169.6,1281.332666666667,175,4.2400000000002365,NA,8,147.811,NA,3.930817610062674,154.98487669248394,362
169.6,1285.572666666667,175,4.849999999999909,NA,67,97.1099,NA,3.4364261168385526,155.20135477910966,363
169.6,1290.4226666666668,176,5.439999999999827,NA,69,144.458,NA,3.0637254901961763,155.41687907917742,364
169.4,1295.8626666666669,175,5.120000000000118,NA,68,144.624,NA,3.2552083333332584,155.63145143890537,365
169.2,1300.9826666666668,175,5.190000000000055,NA,72,149.249,NA,3.2113037893384377,155.84507370603757,366
169.2,1306.1726666666668,175,5.3599999999999,NA,75,116.296,NA,3.109452736318466,156.0577477298438,367
169,1311.5326666666667,174,5.309999999999945,NA,78,54.6735,NA,3.138731952291306,156.26947536111985,368
168.8,1316.842666666667,175,5.000000000000227,NA,78,15.6814,NA,3.3333333333331816,156.48025845218717,369
168.8,1321.842666666667,175,5.009999999999991,NA,74,1.28536,NA,3.326679973386566,156.6900988568932,370
168.6,1326.852666666667,175,5.419999999999845,NA,75,0,NA,3.0750307503075907,156.89899843061116,371
168.4,1332.2726666666667,175,5.6099999999999,NA,76,0,NA,2.9708853238265527,157.10695903024006,372
168.2,1337.8826666666666,175,5.7800000000002,NA,70,30.812,NA,2.883506343713857,157.31398251420487,373
168,1343.6626666666668,174,5.819999999999936,NA,64,47.8609,NA,2.863688430698771,157.52007074245626,374
168,1349.4826666666668,174,5.370000000000118,NA,65,47.8609,NA,3.1036623215393484,157.72522557647085,375
167.8,1354.852666666667,175,5.979999999999791,NA,78,17.0489,NA,2.7870680044594063,157.92944887925103,376
167.6,1360.832666666667,175,6.430000000000064,NA,78,0,NA,2.5920165889061435,158.13274251532516,377
167.2,1367.2626666666667,175,6.039999999999964,NA,78,0,NA,2.759381898454762,158.33510835074722,378
167,1373.3026666666667,174,6.160000000000082,NA,54,0,NA,2.7056277056276694,158.53654825296078,379
166.8,1379.4626666666668,174,6.349999999999909,NA,0,0,NA,2.6246719160105365,158.73706409025309,380
166.6,1385.8126666666667,173,6.480000000000018,NA,0,0,NA,2.5720164609053424,158.93665773161874,381
166.4,1392.2926666666667,172,6.529999999999973,NA,0,0,NA,2.552322613578367,159.1353310467596,382
166,1398.8226666666667,170,6.770000000000209,NA,0,0,NA,2.461841457410067,159.3330859060849,383
165.8,1405.592666666667,167,6.879999999999882,NA,0,0,NA,2.4224806201550804,159.5299241807111,384
165.6,1412.4726666666668,165,6.6599999999998545,NA,0,0,NA,2.5025025025025576,159.72584774246212,385
165.4,1419.1326666666666,163,6.880000000000109,NA,0,0,NA,2.4224806201550004,159.92085846386905,386
165.2,1426.0126666666667,162,6.970000000000027,NA,0,0,NA,2.391200382592052,160.11495821817033,387
164.8,1432.9826666666668,162,6.889999999999873,NA,0,0,NA,2.418964683115671,160.30814887931177,388
164.6,1439.8726666666666,162,6.809999999999945,NA,0,0,NA,2.447381302006872,160.50043232194648,389
164.4,1446.6826666666666,162,6.810000000000173,NA,0,0,NA,2.4473813020067907,160.69181042143484,390
164,1453.4926666666668,161,6.740000000000009,NA,0,0,NA,2.47279920870425,160.88228505384458,391
163.8,1460.2326666666668,161,6.670000000000073,NA,0,0,NA,2.498750624687629,161.07185809595072,392
163.4,1466.9026666666668,161,6.699999999999818,NA,0,0,NA,2.487562189054794,161.26053142523563,393
163.4,1473.602666666667,161,6.730000000000246,NA,27,0,NA,2.4764735017334414,161.448306919889,394
163.2,1480.332666666667,162,6.679999999999836,NA,62,0,NA,2.495009980039981,161.63518645865952,395
162.6,1487.0126666666667,162,6.670000000000073,NA,66,0,NA,2.498750624687629,161.82117192026195,396
162.4,1493.6826666666668,162,6.740000000000009,NA,68,0,NA,2.47279920870425,162.00626518322886,397
162,1500.4226666666668,162,6.599999999999909,NA,67,0,NA,2.52525252525256,162.19046812591057,398
161.8,1507.0226666666667,162,6.879999999999882,NA,66,0,NA,2.4224806201550804,162.37378262647516,399
161.6,1513.9026666666666,162,7.060000000000173,NA,67,0,NA,2.3607176581680256,162.55621056290855,400
161.6,1520.9626666666668,162,6.990000000000009,NA,67,0,NA,2.38435860753457,162.73775381301445,401
161.4,1527.9526666666668,162,7.029999999999973,NA,68,0,NA,2.370791844476064,162.91841425441424,402
161.2,1534.9826666666668,163,6.690000000000055,NA,69,0,NA,2.491280518186328,163.09819376454718,403
160.8,1541.6726666666668,164,6.6099999999999,NA,71,0,NA,2.5214321734745715,163.2770942206703,404
160.6,1548.2826666666667,164,6.580000000000155,NA,69,0,NA,2.532928064842899,163.45511749985835,405
160.4,1554.8626666666669,165,6.459999999999809,NA,67,0,NA,2.5799793601651952,163.63226547900402,406
160.4,1561.3226666666667,165,6.769999999999982,NA,70,0,NA,2.4618414574101495,163.80854003481755,407
160.4,1568.092666666667,165,6.760000000000218,NA,73,0,NA,2.4654832347139246,163.98394304382717,408
160.2,1574.852666666667,165,6.559999999999718,NA,77,0,NA,2.540650406504174,164.15847638237875,409
160,1581.4126666666666,165,6.560000000000173,NA,79,0,NA,2.5406504065039983,164.332141926636,410
159.8,1587.9726666666668,165,6.569999999999936,NA,80,0,NA,2.5367833587011916,164.5049415524655,411
159.6,1594.5426666666667,165,7.160000000000082,NA,80,18.6273,NA,2.327746741154536,164.67687713497696,412
159.4,1601.7026666666668,164,7.579999999999927,NA,79,103.077,NA,2.198768689533882,164.84795054840825,413
159,1609.2826666666667,162,7.670000000000073,NA,78,211.088,NA,2.172968274663169,165.0181636661255,414
158.8,1616.9526666666668,161,7.739999999999782,NA,80,225.487,NA,2.1533161068045397,165.18751836062305,415
158.6,1624.6926666666666,160,7.7400000000002365,NA,82,141.037,NA,2.153316106804413,165.35601650352336,416
158.6,1632.4326666666668,160,7.949999999999818,NA,85,45.5957,NA,2.0964360587002577,165.52365996557725,417
158.4,1640.3826666666666,160,8.13000000000011,NA,87,14.5099,NA,2.0500205002049743,165.69045061666364,418
158.2,1648.5126666666667,160,8.079999999999927,NA,87,14.5099,NA,2.062706270627081,165.85639032578965,419
158.2,1656.592666666667,160,8.150000000000091,NA,87,1.94016,NA,2.0449897750511017,166.02148096109067,420
158,1664.7426666666668,160,7.900000000000091,NA,86,0,NA,2.1097046413501865,166.18572438983028,421
157.8,1672.6426666666669,160,7.799999999999727,NA,85,0,NA,2.1367521367522113,166.34912247840026,422
157.6,1680.4426666666666,160,7.860000000000355,NA,84,0,NA,2.120441051738666,166.51167709232058,423
157.4,1688.302666666667,160,7.709999999999809,NA,79,0,NA,2.161694768698714,166.67339009623942,424
157,1696.0126666666667,160,7.3400000000001455,NA,74,0,NA,2.270663033605768,166.8342633539332,425
